id,source,medium,service,lifecycle,final_sale_value_raw,final_sale_value,quoted_value,created_at
473695972,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782145958
473629074,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782142485
473462124,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782131984
473453355,Meta Ads,Paid Ads,Express Wash,Hot Lead,,0.0,0.0,1782130746
473445774,Google Ads,Paid Ads,Paint Protection Film (PPF),New Lead,,0.0,0.0,1782129593
473412725,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782124580
473407302,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782124061
473400366,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782123192
473396321,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782122443
473356536,Meta Ads,Paid Ads,Tinting,Lost,,0.0,0.0,1782117509
473355889,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782117415
473343300,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782116325
473337526,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782115609
473334470,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782114996
473332355,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782114552
473332134,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782114506
473314424,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782111700
473310037,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782110773
473299998,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782108662
473294653,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782107719
473287503,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782106050
473280891,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782104533
473279035,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782104073
473275331,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782103189
473265014,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782100800
473255069,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782098571
473207273,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782090977
473149154,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782077007
